"Book Id","Title","Author","Author l-f","Additional Authors","ISBN","ISBN13","My Rating","Average Rating","Publisher","Binding","Number of Pages","Year Published","Original Publication Year","Date Read","Date Added","Bookshelves","Bookshelves with positions","Exclusive Shelf","My Review","Spoiler","Private Notes","Read Count","Owned Copies"
"","Foundation (Foundation, #1)","Isaac Asimov","Asimov, Isaac","","","","","","","",,,1951,,,,"","read","","","",,1
"","Foundation and Empire (Foundation, #2)","Isaac Asimov","Asimov, Isaac","","","","","","","",,,1952,,,,"","read","","","",,1
"","Second Foundation (Foundation, #3)","Isaac Asimov","Asimov, Isaac","","","","","","","",,,1953,,,,"","read","","","",,1
"","I, Robot","Isaac Asimov","Asimov, Isaac","","","","","","","",,,1950,,,,"","read","","","",,1
"","The Gods Themselves","Isaac Asimov","Asimov, Isaac","","","","","","","",,,1972,,,,"","read","","","",,1
"","The Caves of Steel (Robot, #1)","Isaac Asimov","Asimov, Isaac","","","","","","","",,,1954,,,,"","read","","","",,1
"","The Naked Sun (Robot, #2)","Isaac Asimov","Asimov, Isaac","","","","","","","",,,1957,,,,"","read","","","",,1
"","2001: A Space Odyssey (Space Odyssey, #1)","Arthur C. Clarke","Clarke, Arthur C.","","","","","","","",,,1968,,,,"","read","","","",,1
"","Childhood's End","Arthur C. Clarke","Clarke, Arthur C.","","","","","","","",,,1953,,,,"","read","","","",,1
"","Rendezvous with Rama (Rama, #1)","Arthur C. Clarke","Clarke, Arthur C.","","","","","","","",,,1973,,,,"","read","","","",,1
"","The City and the Stars","Arthur C. Clarke","Clarke, Arthur C.","","","","","","","",,,1956,,,,"","read","","","",,1
"","Stranger in a Strange Land","Robert A. Heinlein","Heinlein, Robert A.","","","","","","","",,,1961,,,,"","read","","","",,1
"","The Moon Is a Harsh Mistress","Robert A. Heinlein","Heinlein, Robert A.","","","","","","","",,,1966,,,,"","read","","","",,1
"","Starship Troopers","Robert A. Heinlein","Heinlein, Robert A.","","","","","","","",,,1959,,,,"","read","","","",,1
"","The Left Hand of Darkness (Hainish Cycle, #4)","Ursula K. Le Guin","Le Guin, Ursula K.","","","","","","","",,,1969,,,,"","read","","","",,1
"","The Dispossessed (Hainish Cycle, #5)","Ursula K. Le Guin","Le Guin, Ursula K.","","","","","","","",,,1974,,,,"","read","","","",,1
"","The Lathe of Heaven","Ursula K. Le Guin","Le Guin, Ursula K.","","","","","","","",,,1971,,,,"","read","","","",,1
"","Do Androids Dream of Electric Sheep?","Philip K. Dick","Dick, Philip K.","","","","","","","",,,1968,,,,"","read","","","",,1
"","The Man in the High Castle","Philip K. Dick","Dick, Philip K.","","","","","","","",,,1962,,,,"","read","","","",,1
"","Ubik","Philip K. Dick","Dick, Philip K.","","","","","","","",,,1969,,,,"","read","","","",,1
"","A Scanner Darkly","Philip K. Dick","Dick, Philip K.","","","","","","","",,,1977,,,,"","read","","","",,1
